index	radiation	nominal	deviation	normDev	
14866	5.370000	2.51813134133	0.0	0.0	
14867	6.880000	24.77627807	17.89627807	0.722315031315	
14868	8.910000	46.8327131018	37.9227131018	0.809748370105	
14869	18.750000	69.1172403762	50.3672403762	0.728721808077	
14870	25.420000	90.9599262299	65.5399262299	0.720536272911	
14871	41.300000	112.572302116	71.2723021158	0.633124674331	
14872	59.400000	134.452050343	75.0520503431	0.55820681166	
14873	79.870000	156.080218684	76.2102186842	0.488275960443	
14874	101.680000	177.663242338	75.9832423385	0.427681276883	
14875	126.640000	199.118502894	72.4785028941	0.36399682521	
14876	153.060000	220.29455598	67.2345559801	0.305202984618	
14877	180.260000	241.184222976	60.9242229761	0.252604512121	
