index	radiation	nominal	deviation	normDev	
62	11.460000	0.0	0.0	0.0	
63	9.450000	13.0732286583	3.62322865834	0.27714872531	
64	11.660000	34.6496167675	22.9896167675	0.663488341639	
65	13.080000	56.6717697121	43.5917697121	0.769197255239	
66	16.630000	79.0558487631	62.4258487631	0.78964238244	
67	28.360000	100.837421457	72.4774214572	0.718755204267	
68	46.790000	122.739960553	75.9499605532	0.618787558761	
69	52.130000	144.67943018	92.5494301802	0.639686167307	
70	80.180000	188.116793117	107.936793117	0.573775426046	
71	92.850000	231.792962958	138.942962958	0.599427011006	
72	107.070000	253.754002096	146.684002096	0.578055915904	
73	117.460000	275.184035844	157.724035844	0.573158378757	
74	128.310000	296.363629063	168.053629063	0.567052136573	
75	136.330000	317.850827819	181.520827819	0.571088107791	
76	135.350000	338.78466312	203.43466312	0.600483685556	
77	295.090000	360.070521552	64.9805215516	0.180466096674	
78	419.820000	380.856765113	0.0	0.0	
79	391.310000	401.416131784	10.106131784	0.0251761974266	
80	394.970000	422.149418705	27.1794187046	0.0643834090499	
81	457.650000	442.092540356	0.0	0.0	
82	409.400000	462.724275864	53.3242758638	0.115239849399	
83	487.990000	482.420358832	0.0	0.0	
84	497.130000	502.24188327	5.1118832704	0.0101781301813	
85	536.660000	521.974466664	0.0	0.0	
86	564.100000	540.964268236	0.0	0.0	
87	573.130000	559.852832723	0.0	0.0	
88	577.100000	578.938426218	1.83842621758	0.0031755125145	
89	596.570000	597.579243841	1.00924384089	0.00168888704099	
90	628.800000	615.774116158	0.0	0.0	
91	669.480000	651.646927288	0.0	0.0	
92	689.850000	669.356160037	0.0	0.0	
93	725.790000	703.016773566	0.0	0.0	
94	739.280000	719.74853507	0.0	0.0	
95	760.630000	736.099744856	0.0	0.0	
96	773.130000	751.908307595	0.0	0.0	
97	782.780000	767.385511663	0.0	0.0	
98	793.650000	782.875564245	0.0	0.0	
99	806.420000	797.660199248	0.0	0.0	
100	843.890000	826.443750579	0.0	0.0	
101	856.110000	840.051546658	0.0	0.0	
102	866.920000	853.467948977	0.0	0.0	
103	877.700000	866.714107036	0.0	0.0	
104	884.620000	879.266503747	0.0	0.0	
105	902.240000	891.548151732	0.0	0.0	
106	918.240000	903.192079624	0.0	0.0	
107	926.050000	914.816033223	0.0	0.0	
108	942.140000	925.760595475	0.0	0.0	
109	948.240000	936.361429418	0.0	0.0	
110	972.400000	946.505437478	0.0	0.0	
111	978.900000	956.28742085	0.0	0.0	
112	989.020000	965.633417654	0.0	0.0	
113	1004.490000	982.890248726	0.0	0.0	
114	998.960000	990.804661575	0.0	0.0	
115	1018.590000	998.351730246	0.0	0.0	
116	1019.480000	1005.58291776	0.0	0.0	
117	1039.120000	1012.12585728	0.0	0.0	
118	1048.670000	1018.32040548	0.0	0.0	
119	1058.610000	1024.08574726	0.0	0.0	
120	1051.800000	1029.27623177	0.0	0.0	
121	1059.150000	1034.02334796	0.0	0.0	
122	1069.160000	1045.56766894	0.0	0.0	
123	1073.430000	1048.46048026	0.0	0.0	
124	1072.940000	1052.78199418	0.0	0.0	
125	1072.240000	1055.21015895	0.0	0.0	
126	1067.150000	1055.69522288	0.0	0.0	
127	1070.120000	1055.23417759	0.0	0.0	
128	1065.300000	1054.30139377	0.0	0.0	
129	1061.270000	1052.86595281	0.0	0.0	
130	1063.060000	1050.93787653	0.0	0.0	
131	1000.960000	1045.72317621	44.7631762111	0.0428059521195	
132	1005.430000	1042.38733745	36.9573374504	0.0354545149607	
133	974.100000	1038.52343173	64.4234317276	0.062033681436	
134	952.030000	1034.28019141	82.2501914067	0.0795240903674	
135	978.360000	1029.50960282	51.1496028207	0.0496834635447	
136	1009.880000	1018.57747345	8.69747344942	0.00853884331446	
137	1013.320000	1005.81123482	0.0	0.0	
138	1008.460000	998.741543941	0.0	0.0	
139	1012.530000	991.141045479	0.0	0.0	
140	1006.100000	983.191189337	0.0	0.0	
141	1027.630000	974.91358558	0.0	0.0	
142	1073.710000	966.027174263	0.0	0.0	
143	486.310000	936.845827843	450.535827843	0.480907118816	
144	986.690000	926.156716442	0.0	0.0	
145	916.470000	915.189943362	0.0	0.0	
146	999.940000	903.88984502	0.0	0.0	
147	928.270000	891.989347739	0.0	0.0	
148	899.060000	879.76381523	0.0	0.0	
149	794.600000	840.776682154	46.1766821536	0.054921459091	
150	725.350000	827.142083172	101.792083172	0.123064809835	
151	831.380000	812.808971432	0.0	0.0	
152	724.350000	798.395122364	74.0451223636	0.0927424533161	
153	838.660000	783.477649748	0.0	0.0	
154	793.150000	768.104356768	0.0	0.0	
155	398.940000	752.64289987	353.70289987	0.469947833071	
156	708.670000	736.796192017	28.1261920167	0.0381736392255	
157	786.810000	720.732291928	0.0	0.0	
158	462.710000	687.15801493	224.44801493	0.326632317536	
159	234.560000	652.586443911	418.026443911	0.640568690648	
160	633.240000	634.656380379	1.41638037896	0.00223172794405	
161	386.250000	616.561826138	230.311826138	0.373542143503	
162	587.370000	598.194056005	10.8240560045	0.0180945562663	
163	555.780000	579.811169157	24.0311691565	0.0414465440386	
164	449.000000	560.926831374	111.926831374	0.199539093361	
165	406.110000	541.731975201	135.621975201	0.25034884668	
166	183.460000	483.214648033	299.754648033	0.620334357108	
167	146.120000	463.392884597	317.272884597	0.684673621765	
168	242.530000	422.762518052	180.232518052	0.426320949366	
169	155.070000	402.240597386	247.170597386	0.614484462763	
170	92.240000	339.697913351	247.457913351	0.728464625849	
171	87.650000	318.557786218	230.907786218	0.724853688116	
172	62.490000	297.572493487	235.082493487	0.790000751522	
173	63.750000	275.970430072	212.220430072	0.768996990064	
174	51.800000	254.472367289	202.672367289	0.796441552567	
175	43.180000	211.334159043	168.154159043	0.79567903175	
176	53.190000	189.570258717	136.380258717	0.719418012298	
177	43.990000	167.73817966	123.74817966	0.737746051083	
178	27.940000	145.921363463	117.981363463	0.808527008404	
179	18.710000	101.863614242	83.1536142424	0.81632303017	
180	13.640000	80.0830121759	66.4430121759	0.829676736309	
181	11.280000	57.7728351699	46.4928351699	0.804752528298	
182	9.090000	36.0442985399	26.9542985399	0.747810323179	
314	8.550000	0.0	0.0	0.0	
315	55.730000	0.0	0.0	0.0	
316	46.530000	0.0	0.0	0.0	
317	39.100000	12.6212473176	0.0	0.0	
318	71.770000	34.8157625388	0.0	0.0	
319	63.670000	56.5736620032	0.0	0.0	
320	64.890000	78.7664924462	13.8764924462	0.176172532447	
321	81.220000	100.795738641	19.575738641	0.194211966745	
322	111.680000	122.87120377	11.19120377	0.0910807693476	
323	125.130000	144.835706075	19.7057060746	0.136055580552	
324	161.930000	166.825145984	4.89514598421	0.029342974378	
325	329.620000	188.319193156	0.0	0.0	
326	273.940000	209.021625481	0.0	0.0	
327	276.470000	232.109295256	0.0	0.0	
328	113.100000	253.801569815	140.701569815	0.554376278749	
329	366.480000	275.321734773	0.0	0.0	
330	383.310000	296.802941325	0.0	0.0	
331	326.750000	318.092238951	0.0	0.0	
332	397.010000	339.251050497	0.0	0.0	
333	97.990000	360.12967126	262.13967126	0.727903564132	
334	560.970000	380.859798216	0.0	0.0	
335	207.710000	401.500452013	193.790452013	0.482665588648	
336	441.230000	422.040226953	0.0	0.0	
337	219.950000	442.737792485	222.787792485	0.50320482296	
338	151.680000	462.704017377	311.024017377	0.672187847298	
339	633.900000	482.938443724	0.0	0.0	
340	146.460000	502.565326445	356.105326445	0.708575199495	
341	611.720000	521.912055633	0.0	0.0	
342	554.730000	541.547769274	0.0	0.0	
343	573.620000	560.559644807	0.0	0.0	
344	595.720000	579.389617548	0.0	0.0	
345	630.460000	597.780280212	0.0	0.0	
346	723.830000	616.215583416	0.0	0.0	
347	723.780000	634.07651038	0.0	0.0	
348	206.120000	651.66214911	445.54214911	0.683701132126	
349	749.090000	669.426350812	0.0	0.0	
350	727.930000	686.712667818	0.0	0.0	
351	730.960000	703.07615596	0.0	0.0	
352	854.210000	720.183161635	0.0	0.0	
353	262.720000	736.19697026	473.47697026	0.643138982347	
354	913.080000	752.152313205	0.0	0.0	
355	426.450000	767.870939422	341.420939422	0.444633234432	
356	840.740000	782.736604602	0.0	0.0	
357	331.240000	797.609837553	466.369837553	0.58470923451	
358	939.550000	812.315432182	0.0	0.0	
359	904.940000	826.505942732	0.0	0.0	
360	873.710000	840.366769228	0.0	0.0	
361	879.590000	853.623502867	0.0	0.0	
362	895.730000	879.287684602	0.0	0.0	
363	909.250000	891.584497305	0.0	0.0	
364	931.960000	914.722010094	0.0	0.0	
365	943.360000	925.711854842	0.0	0.0	
366	955.950000	936.282019482	0.0	0.0	
367	966.700000	946.261889002	0.0	0.0	
368	978.680000	956.048369706	0.0	0.0	
369	988.770000	965.304256123	0.0	0.0	
370	993.410000	974.239562236	0.0	0.0	
371	999.870000	982.723192229	0.0	0.0	
372	1011.230000	990.59650896	0.0	0.0	
373	1018.050000	998.125290474	0.0	0.0	
374	1024.830000	1005.17416145	0.0	0.0	
375	1031.590000	1011.68067085	0.0	0.0	
376	1029.840000	1017.85692688	0.0	0.0	
377	1037.800000	1023.4728064	0.0	0.0	
378	1043.280000	1028.74781382	0.0	0.0	
379	1027.130000	1033.52654245	6.3965424504	0.00618904516495	
380	1048.630000	1037.73094813	0.0	0.0	
381	1052.690000	1041.55783835	0.0	0.0	
382	1054.840000	1044.86965382	0.0	0.0	
383	1058.820000	1047.67041062	0.0	0.0	
384	1059.790000	1050.06275695	0.0	0.0	
385	1059.370000	1051.93610675	0.0	0.0	
386	1062.010000	1053.33289345	0.0	0.0	
387	1060.850000	1054.25245668	0.0	0.0	
388	1059.300000	1054.69768932	0.0	0.0	
389	1058.030000	1054.65561723	0.0	0.0	
390	1057.910000	1054.13193398	0.0	0.0	
391	1055.610000	1053.12008503	0.0	0.0	
392	1054.540000	1051.64451804	0.0	0.0	
393	1050.790000	1049.66633377	0.0	0.0	
394	1046.700000	1047.27456755	0.574567553429	0.000548631248414	
395	1042.620000	1044.29810743	1.67810743424	0.00160692375318	
396	1039.600000	1040.93545916	1.33545915901	0.00128294136515	
397	1031.010000	1037.0803847	6.07038469797	0.00585334057758	
398	1026.270000	1032.78625326	6.51625325764	0.00630939193573	
399	1019.040000	1027.91321877	8.87321876992	0.00863226448293	
400	1013.880000	1022.63284809	8.75284809146	0.00855913058904	
401	1005.390000	1016.88666816	11.4966681609	0.0113057516839	
402	994.460000	1010.67741385	16.2174138488	0.0160460831781	
403	990.460000	1004.05401956	13.594019556	0.0135391316516	
404	981.260000	996.832687546	15.5726875462	0.0156221678329	
