index	modelNormRad	normRad	modelRad	rad	
16102	0.518182071541	0.110621919108	403.525688233	744.860000	
16103	0.496765022501	0.2626503274	416.995558997	610.990000	
16104	0.51015460842	0.604316320075	401.350583831	324.200000	
16105	0.522504034659	0.588867096281	386.588632498	332.860000	
16106	0.497800153016	0.593693364333	401.506113791	324.840000	
16107	0.50628566635	0.66245957949	389.497618415	266.290000	
16108	0.611421643321	0.68141288876	302.264231523	247.820000	
16109	0.503035102853	0.451393214562	380.899043721	420.480000	
16110	0.529371397829	0.369813699179	355.144869812	475.550000	
16111	0.478414807265	0.553649878545	387.236146828	331.380000	
16112	0.691160219898	0.664386789978	225.399994635	244.940000	
16113	0.539829220698	0.647849973146	329.809723503	252.390000	
16114	0.483682066245	0.737907115795	363.146249457	184.340000	
16115	0.48260826972	0.616077493709	356.762394787	264.730000	
16116	0.527581421108	0.488515508045	319.05615216	345.440000	
16117	0.548600245831	0.724598193325	298.341482382	182.020000	
16118	0.530244985826	0.41971411682	303.474140623	374.880000	
16119	0.545730163804	0.477075815401	286.518164176	329.820000	
16120	0.576507031862	0.57056894947	260.477665824	264.130000	
16121	0.55083983517	0.296451198108	269.177347453	421.630000	
16122	0.541554290307	0.590706134376	267.208521041	238.560000	
16123	0.538592809125	0.722340596935	261.380440394	157.290000	
16124	0.506069753329	0.683302511162	271.31287345	173.960000	
16125	0.532048515777	0.724711065505	249.011872016	146.490000	
16126	0.542185761519	0.480580849834	235.597293452	267.300000	
16127	0.630493297553	0.590774905487	183.550137762	203.280000	
16128	0.547659866229	0.706211132831	216.540255683	140.640000	
16129	0.571533366685	0.657864976024	197.242287454	157.500000	
16130	0.588382396091	0.699601077787	181.816697145	132.690000	
16131	0.607922082903	0.573000134427	165.829728618	180.600000	
16132	0.591625746476	0.775569390038	164.855887419	90.600000	
16133	0.547304142358	0.853088838792	173.977306505	56.460000	
16134	0.599854974026	0.722492106857	145.937031269	101.210000	
16135	0.60536122074	0.631676405843	136.105763857	127.030000	
16136	0.655456266833	0.699833580276	111.92610903	97.510000	
16137	0.589073599432	0.553277179415	125.175751076	136.080000	
16138	0.553099178516	0.634525852123	126.975277383	103.840000	
16139	0.593391105285	0.680368717929	107.175990904	84.250000	
16140	0.596825528785	0.753071498592	97.9491488032	59.990000	
16141	0.591410784394	0.770490741177	90.6515186592	50.920000	
16142	0.595821765022	0.750751402156	81.290146042	50.130000	
16143	0.549164501964	0.754702384068	80.9416563552	44.040000	
16144	0.566043776394	0.788076830672	68.6390858601	33.520000	
16145	0.557161485601	0.822508365504	60.528274416	24.260000	
16146	0.622332822295	0.850622941026	43.4358673116	17.180000	
16147	0.58166223494	0.819881050643	39.0655243852	16.820000	
16148	0.580634499319	0.809722052998	30.0840910598	13.650000	
16149	0.571637302044	0.769912152755	21.2982533553	11.440000	
16150	0.555225537022	0.629828760927	12.3878471077	10.310000	
16151	0.617099866823	0.0	2.18421760543	8.040000	
16152	0.554318205616	0.0	0.0	5.400000	
16153	0.603851547525	0.0	0.0	3.980000	
16304	0.627590615493	0.834580584377	6.88899010008	3.060000	
16305	0.53432773559	0.868414897137	18.9333485356	5.350000	
16306	0.562512086612	0.902609074723	27.3567725633	6.090000	
16307	0.518488389007	0.880126369211	40.5699505305	10.100000	
16308	0.570286180467	0.820223260333	45.5345239726	19.050000	
16309	0.587266772553	0.806486170529	52.5957313576	24.660000	
16310	0.576729126327	0.825211577087	63.1315935734	26.070000	
16311	0.494530258796	0.729799297544	86.1653432737	46.060000	
16312	0.475151139224	0.641437779619	100.66274165	68.770000	
16313	0.483552778222	0.679151567142	109.92162393	68.290000	
16314	0.554420048892	0.692090974554	104.11996672	71.950000	
16315	0.526609136404	0.687624015572	120.569374681	79.560000	
16316	0.481521918857	0.636789466749	142.72008603	99.980000	
16317	0.480000514783	0.610719557214	153.710112781	115.070000	
16318	0.502922550153	0.589277192001	157.114709196	129.820000	
16319	0.433807190386	0.587512685072	190.328992286	138.660000	
16320	0.431713586048	0.551552714183	202.288124219	159.630000	
16321	0.41056156492	0.508276113522	221.403275198	184.700000	
16322	0.420387949339	0.468974637248	228.97402745	209.780000	
16323	0.410942021947	0.394938694014	244.049739221	250.680000	
16324	0.372238548704	0.441598315318	271.980425701	241.930000	
16325	0.304316340289	0.608341889526	314.414437777	177.010000	
16326	0.277512358265	0.654473682993	339.846520023	162.530000	
16327	0.264350980166	0.510568404992	359.398614488	239.110000	
16328	0.26517241636	0.416820606295	372.051109767	295.270000	
16329	0.220688652016	0.265461481103	408.286806381	384.830000	
16330	0.209130363016	0.232685235662	428.069408929	415.320000	
16331	0.168609066911	0.131159128249	464.037469001	484.940000	
16332	0.178513071339	0.0608105490009	472.124126832	539.770000	
16333	0.266695325574	0.0360926684914	433.642305444	570.010000	
16334	0.300537562713	0.0	424.842302816	619.040000	
16335	0.366201444305	0.0	394.840467425	672.240000	
16336	0.375938400688	0.0	398.324066446	701.770000	
16337	0.401275554934	0.0	391.223294421	730.130000	
16338	0.404720335128	0.0915739409666	397.601858584	606.760000	
16339	0.385322563121	0.179244338951	419.393226252	560.000000	
16340	0.381190252713	0.211523399894	430.817379527	548.940000	
16341	0.444098201292	0.484357270091	394.56485568	365.990000	
16342	0.418113835323	0.437444022047	420.654076616	406.680000	
16343	0.368638705983	0.491227961427	464.363955385	374.200000	
16344	0.430314780112	0.474046577371	426.110290116	393.400000	
16345	0.41978613526	0.421998902101	440.941623039	439.260000	
16346	0.551314793442	0.43851194819	346.162209511	433.190000	
16347	0.347717555386	0.399815168991	510.471188884	469.700000	
16348	0.347858461865	0.52570221917	517.343291612	376.260000	
16349	0.54441060675	0.623177627964	366.118336655	302.820000	
16350	0.338870508326	0.37932236065	537.784892825	504.880000	
16351	0.376341663903	0.155303268621	513.178217678	695.060000	
16352	0.279763690866	0.263684295918	599.11466581	612.490000	
16353	0.34036001646	0.181666787381	554.339491158	687.700000	
16354	0.27690319483	0.0730855759716	613.534464045	786.470000	
16355	0.25446155566	0.364123104131	638.250525506	544.370000	
16356	0.281685859587	0.135109042753	620.087074587	746.620000	
16357	0.295792944451	0.12025663619	612.630739901	765.340000	
16358	0.251699473677	0.42436384341	655.709798909	504.410000	
16359	0.3437212084	0.515534460259	578.880421845	427.330000	
16360	0.310536283346	0.565583508985	611.828206957	385.500000	
